CD_CLIENTE,INADIMPLENTE,NM_MUN,SG_UF,SCORE,TEM_AUXILIO,TEM_BOLSAFAMILIA,NM_REGIAO,CD_UF,CD_MUN,PF_CNT,PF_VOL,PF_ITS,PF_TPR,PF_GRV,PF_MRC,PF_TDC,PF_FRQ,PF_VLR,PF_REC,PF_ETB,PF_MOD01,PF_MOD02,PF_MOD03,PF_MOD04,Bancarizado,OCUPACAO,IDADE,CD_MESO
12807,0,OSASCO,SP,807,1,0,SUDESTE,35,3534401,1,11.48,99.68,0,1,0,51,34.33,0,10.97,101,0,0,92.67,101,1,1,46,3534
12808,0,MOGI DAS CRUZES,SP,921,0,0,SUDESTE,35,3530607,1,90.87,96.19,0,1,0,51,34.33,0,54.7,99.66,0,34.33,101,101,1,3,50,3530
12809,0,SUZANO,SP,340,0,0,SUDESTE,35,3552502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51,3552
12810,0,SAO PAULO,SP,370,1,0,SUDESTE,35,3550308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,46,3550
12811,0,SAPUCAIA DO SUL,RS,642,0,0,SUL,43,4320008,101,1,0,0,1,0,51,1,0,0,1,0,51,0,0,1,3,71,4320
12812,0,SUZANO,SP,843,0,0,SUDESTE,35,3552502,4.65,35.94,24.71,0,1,0,51,51,0,61.44,59.28,0,0,84.33,101,1,3,46,3552
12813,0,SAO PAULO,SP,521,1,0,SUDESTE,35,3550308,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,1,2,52,3550
12814,1,SAO JOSE DO RIO PRETO,SP,790,0,0,SUDESTE,35,3549805,0,0,0,0,0,0,0,0,0,10.97,1,0,0,101,0,1,1,80,3549
12815,0,SANTOS,SP,605,0,0,SUDESTE,35,3548500,1,72.14,0,65.11,29.57,1,74.11,101,1,61.44,94.11,0,17.67,0,101,1,3,43,3548
12816,0,ITAQUAQUECETUBA,SP,0,1,0,SUDESTE,35,3523107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46,3523
12817,0,PORTO ALEGRE,RS,911,0,0,SUL,43,4314902,1,101,0,0,1,0,51,1,0,30.13,1,0,0,0,101,1,1,65,4314
